0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:53:10 +0300] "GET /Content/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:53:10 +0300] "GET /Content/node_modules/pace-progress/pace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:53:10 +0300] "GET /Content/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:53:10 +0300] "GET /Content/node_modules/@coreui/coreui/dist/js/coreui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:53:10 +0300] "GET /Content/node_modules/chart.js/dist/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:53:10 +0300] "GET /Content/node_modules/@coreui/coreui-plugin-chartjs-custom-tooltips/dist/js/custom-tooltips.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:53:10 +0300] "GET /Content/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:53:10 +0300] "GET /Content/js/newjquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:53:10 +0300] "GET /Content/img/brand/logos.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:53:10 +0300] "GET /Content/img/brand/sygnet.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:53:10 +0300] "GET /Content/img/tz-animate.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:53:10 +0300] "GET /Content/img/avatars/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:53:10 +0300] "GET /Content/img/avatars/7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:53:10 +0300] "GET /Content/img/avatars/4.jpg HTTP/1.1" 304 -
